iter	Passed	Remaining
765	1299	397
766	1301	395
767	1303	393
768	1305	392
769	1307	390
770	1308	388
771	1310	387
772	1312	385
773	1314	383
774	1315	382
775	1317	380
776	1319	378
777	1320	376
778	1323	375
779	1324	373
780	1326	371
781	1328	370
782	1329	368
783	1331	366
784	1333	365
785	1335	363
786	1336	361
787	1338	360
788	1340	358
789	1342	356
790	1344	355
791	1345	353
792	1347	351
793	1350	350
794	1351	348
795	1353	346
796	1355	345
797	1356	343
798	1358	341
799	1360	340
800	1362	338
801	1363	336
802	1365	335
803	1367	333
804	1368	331
805	1370	329
806	1371	328
807	1373	326
808	1375	324
809	1377	323
810	1379	321
811	1381	319
812	1383	318
813	1385	316
814	1387	314
815	1389	313
816	1390	311
817	1393	309
818	1394	308
819	1396	306
820	1398	304
821	1400	303
822	1401	301
823	1403	299
824	1405	298
825	1407	296
826	1409	294
827	1410	293
828	1412	291
829	1414	289
830	1416	287
831	1418	286
832	1420	284
833	1422	283
834	1423	281
835	1425	279
836	1426	277
837	1428	276
838	1430	274
839	1432	272
840	1433	271
841	1435	269
842	1436	267
843	1439	266
844	1440	264
845	1442	262
846	1443	260
847	1445	259
848	1447	257
849	1448	255
850	1450	253
851	1452	252
852	1454	250
853	1455	248
854	1457	247
855	1459	245
856	1461	243
857	1462	242
858	1464	240
859	1466	238
860	1467	236
861	1469	235
862	1471	233
863	1473	231
864	1475	230
865	1477	228
866	1478	226
867	1480	225
868	1483	223
869	1485	221
870	1487	220
871	1488	218
872	1490	216
873	1491	215
874	1493	213
875	1495	211
876	1497	209
877	1499	208
878	1500	206
879	1502	204
880	1504	203
881	1505	201
882	1507	199
883	1509	198
884	1510	196
885	1512	194
886	1514	192
887	1516	191
888	1518	189
889	1520	187
890	1521	186
891	1523	184
892	1525	182
893	1526	181
894	1527	179
895	1529	177
896	1531	175
897	1532	174
898	1534	172
899	1536	170
900	1537	168
901	1539	167
902	1541	165
903	1543	163
904	1544	162
905	1547	160
906	1548	158
907	1550	157
908	1552	155
909	1553	153
910	1555	151
911	1557	150
912	1559	148
913	1561	146
914	1563	145
915	1565	143
916	1567	141
917	1568	140
918	1570	138
919	1572	136
920	1573	135
921	1575	133
922	1577	131
923	1579	129
924	1581	128
925	1582	126
926	1584	124
927	1586	123
928	1587	121
929	1589	119
930	1591	117
931	1593	116
932	1595	114
933	1597	112
934	1598	111
935	1600	109
936	1602	107
937	1604	106
938	1605	104
939	1607	102
940	1609	100
941	1610	99
942	1612	97
943	1614	95
944	1615	94
945	1617	92
946	1619	90
947	1620	88
948	1622	87
949	1624	85
950	1625	83
951	1627	82
952	1629	80
953	1631	78
954	1632	76
955	1634	75
956	1636	73
957	1637	71
958	1639	70
959	1641	68
960	1642	66
961	1644	64
962	1646	63
963	1647	61
964	1649	59
965	1650	58
966	1652	56
967	1654	54
968	1655	52
969	1657	51
970	1658	49
971	1660	47
972	1662	46
973	1663	44
974	1665	42
975	1666	40
976	1668	39
977	1670	37
978	1672	35
979	1673	34
980	1675	32
981	1676	30
982	1678	29
983	1680	27
984	1681	25
985	1683	23
986	1685	22
987	1686	20
988	1688	18
989	1690	17
990	1691	15
991	1693	13
992	1695	11
993	1696	10
994	1698	8
995	1700	6
996	1701	5
997	1703	3
998	1705	1
999	1706	0
